Rank Only,Rank Change,Name,Assoc,Points
139,↓2,Ivor BAN / Payas JAIN,CRO / IND,40
140,↓2,YU Ziyang / LIU Dingshuo,CHN,38
141,↓2,Amin AHMADIAN / Amir Hossein HODAEI,IRI,36
142,↓2,Olav KOSOLOSKY / Adrien RASSENFOSSE,BEL,35
143,↓2,Diego PIGUAVE / Jeremy CEDENO,ECU,35
144,↓2,Rodrigo TAPIA / Emiliano RIOFRIO,ECU,35
145,↓2,Mudit DANI / Siddhesh PANDE,IND,35
146,↓2,Sudhanshu GROVER / Snehit SURAVAJJULA,IND,35
147,↓2,Angel NARANJO / Derek Yadiel VALENTIN-MARENGO,PUR,35
148,↓2,CHEW Zhe Yu Clarence / Alexander CHEN,SGP / AUT,35
149,↓2,Dimitrije LEVAJAC / Amin AHMADIAN,SRB / IRI,35
150,↓2,Angel NARANJO / Louis LAFFINEUR,PUR / BEL,30
151,↓2,Alexandre ROBINOT / Leo DE NODREST,FRA,30
152,↓2,Tamas LAKATOS / Csaba ANDRAS,HUN,30
153,,Mizuki OIKAWA / Jo YOKOTANI,JPN,30
154,,Mudit DANI / Manush Utpalbhai SHAH,IND,30
155,,Elias RANEFUR / Tobias HIPPLER,SWE / GER,30
156,↓5,Pedro OSIRO / Cedric TSCHANZ,SUI,30
157,↓5,Tomas MARTINKO / Simon BELIK,CZE,29
158,↓5,Rares SIPOS / Cristian PLETEA,ROU,29
159,↓5,Carlos FERNANDEZ / Taiwo MATI,PER / NGR,25
160,↓5,Tiago LI / Goncalo GOMES,POR,22
161,↓5,Sanil SHETTY / Manav Vikash THAKKAR,IND,20
162,↓5,Andrei Teodor ISTRATE / Tom Fabian SCHWEIGER,ROU / GER,20
163,↓5,John ESPINOZA / Paul Ignacio PONCE CEDENO,ECU,20
164,↓5,Moises DUFFOO / Rodrigo Ali VIGO IZAGUIRRE,PER,20
165,↓5,Yadier LOPEZ VELEZ / Derek Yadiel VALENTIN-MARENGO,PUR,20
166,↓5,Aidos KENZHIGULOV / Iskender KHARKI,KAZ,20
167,↓5,Denis ZHOLUDEV / Sagantay KURMAMBAYEV,KAZ,20
168,↓5,Pavel PLATONOV / Alexander CHEN,BLR / AUT,20
169,↓5,Elmurod KHOLIKOV / Stanislav TYAN,UZB,20
170,↓5,Maksim BOKOV / Damir AKHMETSAFIN,RUS,20
171,↓5,Kay STUMPER / Daniel RINDERER,GER,20
172,↓5,Eday GOMEZ ROJAS / Rene MENDEZ ,CUB,20
173,↓5,Sarun YINGYUENYONG / Callum EVANS,THA / WAL,20
174,↓5,Adam STALZER / Ondrej KVETON,CZE,20
175,↓5,Maciej KUBIK / Milosz REDZIMSKI,POL,20
176,↓5,Dragos Alexandru BUJOR / Andrei Teodor ISTRATE,ROU,20
177,↓5,Iulian CHIRITA / Darius MOVILEANU,ROU,20
178,↓5,Andrea PUPPO / Maciej KUBIK,ITA / POL,20
179,↓5,Dimitrije LEVAJAC / Aidos KENZHIGULOV,SRB / KAZ,19
180,↓5,Jordy PICCOLIN / Daniele PINTO,ITA,19
181,↓5,Martin GUMAN / Samuel NOVOTA,SVK,19
182,↓5,Dillon CHAMBERS / Xavier DIXON,AUS,19
183,↓4,Mohammed ABDULWAHHAB / Ahmad Khalil AL-MOHANNADI,QAT,19
184,↓4,John OYEBODE / Borgar HAUG,ITA / NOR,15
185,↓4,Andrea PUPPO / Alexis LEBRUN,ITA / FRA,15
186,↓4,Kay STUMPER / Hiroto SHINOZUKA,GER / JPN,15
187,↓4,Eric GLOD / Luka MLADENOVIC,LUX,15
188,↓4,Aleksandr TIUTRIUMOV / Sadi ISMAILOV,RUS,12
189,↓4,Youssef ABID / Khalil STA,TUN,12
190,↑85,Jordy PICCOLIN / John OYEBODE,ITA,12
191,↓5,Iulian CHIRITA / Andrei Teodor ISTRATE,ROU,11
192,↓5,Ibrahima DIAW / Padasak TANVIRIYAVECHAKUL,SEN / THA,10
193,↓5,Marcos MADRID / Ricardo VILLA,MEX,10
194,↓5,Oba Kizito OBA / Kanate ALI,CIV,10
195,↓5,Amalraj ANTHONY / Harmeet DESAI,IND,10
196,↓5,Muhannad AL BALUSHI / Asad ALRAISI,OMA,10
197,↓5,Tibor SPANIK / Jakub ZELINKA,SVK,10
198,↓5,Thiago MONTEIRO / Gustavo TSUBOI,BRA,10
199,↓5,Samuel NOVOTA / Samuel KALUZNY,SVK,10
200,↓5,Hunor SZOCS / Alin SPELBUS,ROU,10
201,↓5,Atai KASYMOV / Adilet NASIRDINOV,KGZ,10
202,↓5,Semen SHEVNIN / Maksim KABURKIN,RUS,10
203,↓5,Bakdaulet AKIMALI / Irisbek ARTUKMETOV,KAZ,10
204,↓5,Viachaslau BELAKON / Jamshchid RAKHIMBERGANOV ,BLR / UZB,10
205,↓5,Erik RAITER / Vladislav ZAKHAROV,KAZ,10
206,↓5,Abdulaziz ANORBOEV / Mukhammad UKTAMBOEV,UZB,10
207,↓5,Dastan KENZHIGULOV / Temirlan KIM ,KAZ,10
208,↓5,Csaba ANDRAS / Akos KISHEGYI,HUN,10
209,↓5,Tomas MARTINKO / Radek SKALA,CZE,10
210,↓5,Goncalo GOMES / Darius MOVILEANU,POR / ROU,10
211,↓5,Ivor BAN / Nicolas DEGROS,CRO / BEL,10
212,↓5,Daniels KOGANS / Damir AKHMETSAFIN,LAT / RUS,10
213,↓5,Angel NARANJO / Oscar BIRRIEL RIVERA,PUR,10
214,↓5,Maciej KOLODZIEJCZYK / Vladislav URSU,AUT / MDA,10
215,↓5,Neycer ROBALINO / Diego PIGUAVE,ECU,10
216,↓5,Rafael TURRINI / Diogo SILVA,BRA,10
217,↓5,Juan PEREZ / Alvaro GAINZA,ESP,10
218,↓5,Andre Pierre KASES / Adrian DILLON ,AUT / GER,10
219,↓5,Pedro OSIRO / Albert VILARDELL,SUI / ESP,10
220,↓5,Adam KLAJBER / Radim MORAVEK,SVK / CZE,10
221,↓5,Vishwa DEENADAYALAN / Yashansh MALIK,IND,10
222,↓5,Daniels KOGANS / Jakub GOLDIR,LAT / SVK,10
223,↓5,Louis LAFFINEUR / Tom CLOSSET,BEL,10
224,↓5,Peter HRIBAR / Dimitrije LEVAJAC,SLO / SRB,10
225,↓5,Borna PETEK / Thibault PORET,CRO / FRA,10
226,↓5,Hannes HOERMANN / Vincent SENKBEIL,GER,10
227,↓5,Alberto MINO / Elias RANEFUR,ECU / SWE,10
228,,CHUANG Chih-Yuan / KAO Cheng-Jui,TPE,10
229,,Darryl TSAO / Tianrui ZHANG,USA,10
230,,SI Zhigao / Mingwei JU ,CHN / USA,10
231,↓8,Ibrahima DIAW / Joao GERALDO,SEN / POR,10
232,↓8,TAN Lucas / BEH Kun Ting,SGP,10
233,↓8,Heorhi KUNATS / Mikhail TSYHANOUSKI,BLR,10
234,↓8,Jonas PROMBERGER / Adrian DILLON ,AUT / GER,10
235,↓8,PANG Yew En Koen / CHUA Josh Shao Han,SGP,10
236,↓8,Gustavo TSUBOI / Vitor ISHIY,BRA,9
237,↓8,Tilen CVETKO / Peter HRIBAR,SLO,8
238,↓8,Amalraj ANTHONY / Sanil SHETTY,IND,7
239,↓8,KWAN Man Ho / LI Hon Ming,HKG,6
240,↓8,Ziga ZIGON / Aljaz GODEC,SLO,6
241,↓8,Ahmed ALAWLAQI / Fahed ALMUGHANNE,QAT,6
242,↓8,Emmanuel LEBESSON / Tristan FLORE,FRA,5
243,↓8,Amalraj ANTHONY / Sathiyan GNANASEKARAN,IND,5
244,↓8,Lionel WEBER / Pedro OSIRO,SUI,5
245,↓8,Mishel LEVINSKI / CHEW Zhe Yu Clarence,USA / SGP,5
246,↓8,LEE Sangsu / LIM Jonghoon,KOR,5
247,↓8,Patrick FRANZISKA / Dang QIU,GER,5
248,↓8,Borgar HAUG / Thor CHRISTENSEN,NOR / DEN,5
249,↓8,Pedro OSIRO / Dorian GIROD,SUI,5
250,↓8,Fanbo MENG / Benno OEHME,GER,5
251,↓8,Andres MARTINEZ / Nicolas BURGOS,CHI,5
252,↓8,Abit TEJADA / Pedro CABRERA,DOM,5
253,↓8,Enzo LEIVA / Diego ORANTES,ESA,5
254,↓8,Sebastian LOPEZ / Elias APUD,PAR,5
255,↓8,Enzo ANGLES / Jiri MARTINKO,FRA / CZE,5
256,↓8,Ahmed Salem REYEMI / Bader AL JASSASI,OMA,5
257,↓8,Lubomir JANCARIK / Jiri MARTINKO,CZE,5
258,↓8,Bence MAJOROS / Csaba ANDRAS,HUN,5
259,↓8,Can AKKUZU / Alexandre CASSIN,FRA,5
260,↓8,Abdullah YIGENLER / Ibrahim GUNDUZ,TUR,5
261,↓8,Daniele PINTO / Carlo ROSSI,ITA,5
262,↓8,Khalid ASSAR / Youssef ABDEL-AZIZ,EGY,4
263,↓8,Patrik JUHASZ / Csaba ANDRAS,HUN,4
264,↓8,Carlos CABALLERO / Joan MASIP,ESP,4
