Rank Only,Rank Change,Name,Assoc,Points
196,↓3,Jon PERSSON,SWE,45
197,↓3,Mohamed EL-BEIALI,EGY,45
198,↓3,Shady MAGDY,EGY,45
199,↓3,Ramhimlian BAWM,BAN,45
200,↓3,Mohutasin Ahmed RIDOY ,BAN,45
201,↓3,Abdulaziz AL-ABBAD,KSA,45
202,↓3,Ylane BATIX,CMR,45
203,↓3,Nizaam MOOSA,RSA,45
204,↓3,Yaoussou AHMED NENBA,CMR,45
205,↓3,Cade PETERS,RSA,45
206,↓3,Abdoulaye MOHAMED,CMR,45
207,↓3,Alex DJITOUO SAHA FOTSO,CMR,45
208,↓3,Igor BOULMO,CMR,45
209,↓3,Keanin PEKEUR,RSA,45
210,↓3,Brian MUTUA,KEN,45
211,↓3,Alain Patrick JAGUE,CMR,45
212,↓3,Nelson NSOH NJI,CMR,45
213,↓3,Josiah WANDERA,KEN,45
214,↓3,Chetan NATHOO,RSA,45
215,↓3,Simon EBODE MVILONGO,CMR,45
216,↓2,Felipe DUFFOO,PER,45
217,↓2,Rodrigo HIDALGO,PER,45
218,↓1,Shemar BRITTON,GUY,45
219,↓1,Heber MOSCOSO,GUA,45
220,↓1,Christopher FRANKLIN,GUY,45
221,↓1,Hector GATICA,GUA,45
222,↓1,Naif AL-JADAI,KSA,45
223,↓1,Diego PIGUAVE,ECU,45
224,↓1,Payas JAIN,IND,43
225,↑72,Elias RANEFUR,SWE,40
226,↓2,Khalid ALSHAREIF,KSA,40
227,↓2,Tomas MARTINKO,CZE,39
228,↓2,YU Ziyang,CHN,38
229,↓2,LIU Dingshuo,CHN,38
230,↓2,Amir Hossein HODAEI,IRI,36
231,↓1,Siddhesh PANDE,IND,35
232,↓1,Sudhanshu GROVER,IND,35
233,↓1,Jeremy CEDENO,ECU,35
234,↓1,Rodrigo TAPIA,ECU,35
235,↓1,Kay STUMPER,GER,35
236,↓1,Andrea PUPPO,ITA,35
237,↓1,Cedric TSCHANZ,SUI,34
238,↓1,Iulian CHIRITA,ROU,33
239,↓1,Goncalo GOMES,POR,32
240,↓1,Simon BELIK,CZE,31
241,↑10,Jordy PICCOLIN,ITA,31
242,↓2,Damir AKHMETSAFIN,RUS,30
243,↓2,Samuel NOVOTA,SVK,29
244,↓2,Cristian PLETEA,ROU,29
245,↓2,Rares SIPOS,ROU,29
246,↑34,John OYEBODE,ITA,27
247,↓3,Carlos FERNANDEZ,PER,25
248,↓3,Amalraj ANTHONY,IND,25
249,↓3,Mohammed ABDULWAHHAB,QAT,25
250,↓3,Daniele PINTO,ITA,24
251,↓3,Ondrej KVETON,CZE,24
252,↓3,Daniel RINDERER,GER,22
253,↓3,Tiago LI,POR,22
254,↓2,Adrian DILLON ,GER,21
255,↓2,Elmurod KHOLIKOV,UZB,20
256,↓2,Denis ZHOLUDEV,KAZ,20
257,↓2,Tom Fabian SCHWEIGER,GER,20
258,↓2,Yadier LOPEZ VELEZ,PUR,20
259,↓2,Paul Ignacio PONCE CEDENO,ECU,20
260,↓2,Rodrigo Ali VIGO IZAGUIRRE,PER,20
261,↓2,John ESPINOZA,ECU,20
262,↓2,Moises DUFFOO,PER,20
263,↓2,Sagantay KURMAMBAYEV,KAZ,20
264,↓2,Iskender KHARKI,KAZ,20
265,↓2,Stanislav TYAN,UZB,20
266,↓2,Maksim BOKOV,RUS,20
267,↓2,Eday GOMEZ ROJAS,CUB,20
268,↓2,Rene MENDEZ ,CUB,20
269,↓2,Callum EVANS,WAL,20
270,↓2,Sarun YINGYUENYONG,THA,20
271,↓2,Adam STALZER,CZE,20
272,↓2,Milosz REDZIMSKI,POL,20
273,↓2,Dragos Alexandru BUJOR,ROU,20
274,↓2,Daniels KOGANS,LAT,20
275,↓2,Borgar HAUG,NOR,20
276,↓2,Xavier DIXON,AUS,19
277,↓2,Martin GUMAN,SVK,19
278,↓2,Dillon CHAMBERS,AUS,19
279,↓2,Gustavo TSUBOI,BRA,19
280,↓2,Ahmad Khalil AL-MOHANNADI,QAT,19
281,↓2,Peter HRIBAR,SLO,18
282,↓1,Luka MLADENOVIC,LUX,17
283,↓1,Jakub ZELINKA,SVK,16
284,↓1,Eric GLOD,LUX,15
285,↓1,Akos KISHEGYI,HUN,14
286,↑53,Jonas PROMBERGER,AUT,14
287,↓2,Muhannad AL BALUSHI,OMA,12
288,↓2,Aleksandr TIUTRIUMOV,RUS,12
289,↓2,Youssef ABID,TUN,12
290,↓2,Khalil STA,TUN,12
291,↓2,TAN Lucas,SGP,12
292,↓2,Sadi ISMAILOV,RUS,12
293,↓2,CHUA Josh Shao Han,SGP,12
294,↓2,Maciej KOLODZIEJCZYK,AUT,11
295,↓2,Padasak TANVIRIYAVECHAKUL,THA,10
296,↓2,Thiago MONTEIRO,BRA,10
297,↓2,Ricardo VILLA,MEX,10
298,,Samuel KALUZNY,SVK,10
299,,Kanate ALI,CIV,10
300,,Alin SPELBUS,ROU,10
301,,Tibor SPANIK,SVK,10
302,,Vladislav URSU,MDA,10
303,,Atai KASYMOV,KGZ,10
304,,Adilet NASIRDINOV,KGZ,10
305,,Temirlan KIM ,KAZ,10
306,,Viachaslau BELAKON,BLR,10
307,,Semen SHEVNIN,RUS,10
308,,Maksim KABURKIN,RUS,10
309,,Jamshchid RAKHIMBERGANOV ,UZB,10
310,,Bakdaulet AKIMALI,KAZ,10
311,,Dastan KENZHIGULOV,KAZ,10
312,,Vladislav ZAKHAROV,KAZ,10
313,,Erik RAITER,KAZ,10
314,,Oscar BIRRIEL RIVERA,PUR,10
315,,Neycer ROBALINO,ECU,10
316,,Diogo SILVA,BRA,10
317,,Rafael TURRINI,BRA,10
318,,Andre Pierre KASES,AUT,10
319,,Juan PEREZ,ESP,10
320,,Albert VILARDELL,ESP,10
321,,Alvaro GAINZA,ESP,10
322,,Radim MORAVEK,CZE,10
323,,Tom CLOSSET,BEL,10
324,,Vishwa DEENADAYALAN,IND,10
325,,Yashansh MALIK,IND,10
326,,Borna PETEK,CRO,10
327,,Vincent SENKBEIL,GER,10
328,,Hannes HOERMANN,GER,10
329,,Darryl TSAO,USA,10
330,,KAO Cheng-Jui,TPE,10
331,,SI Zhigao,CHN,10
332,,Tianrui ZHANG,USA,10
333,,Mingwei JU ,USA,10
334,↓38,Marcos MADRID,MEX,10
335,↓6,Oba Kizito OBA,CIV,10
336,↓6,Asad ALRAISI,OMA,10
337,↓6,Nicolas DEGROS,BEL,10
338,↓6,Radek SKALA,CZE,10
339,↓6,Heorhi KUNATS,BLR,10
340,↓6,Mukhammad UKTAMBOEV,UZB,10
341,↓6,Abdulaziz ANORBOEV,UZB,10
342,↓6,Jakub GOLDIR,SVK,10
